,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
527,2,128,4,0.7929,0.178,0.206,0.2662
528,2,128,6,0.5357,0.144,0.146,0.2154
529,2,128,8,0.3786,0.124,0.131,0.1832
530,2,128,10,0.3071,0.118,0.118,0.1574
531,2,128,12,0.2643,0.118,0.112,0.1336
532,2,128,14,0.2357,0.118,0.112,0.1105
533,2,128,16,0.2214,0.116,0.111,0.099
534,2,128,18,0.2071,0.116,0.11,0.0912
535,2,128,20,0.2071,0.116,0.11,0.0801
536,2,128,22,0.1929,0.116,0.107,0.0793
537,2,128,24,0.1929,0.116,0.107,0.0698
538,2,128,26,0.1857,0.116,0.106,0.0684
539,2,128,28,0.1786,0.114,0.106,0.0619
540,2,128,30,0.1857,0.116,0.106,0.0585
541,2,128,32,0.1714,0.114,0.106,0.0567
542,2,128,34,0.1429,0.114,0.103,0.0586
543,2,128,36,0.1429,0.114,0.103,0.059
544,2,128,38,0.1429,0.122,0.13,
545,2,128,40,0.1429,0.122,0.13,
546,2,256,0,1.0,0.792,0.807,0.4605
547,2,256,2,0.9929,0.796,0.807,0.2318
548,2,256,4,0.8429,0.256,0.271,0.2199
549,2,256,6,0.6357,0.364,0.386,0.2041
550,2,256,8,0.4929,0.338,0.357,0.1807
551,2,256,10,0.4214,0.328,0.349,0.1594
552,2,256,12,0.3571,0.326,0.345,0.1434
553,2,256,14,0.3143,0.324,0.333,0.1341
554,2,256,16,0.2786,0.324,0.331,0.1181
555,2,256,18,0.2286,0.318,0.327,0.1109
556,2,256,20,0.2143,0.316,0.327,0.0965
557,2,256,22,0.2071,0.316,0.327,0.0883
558,2,256,24,0.2,0.316,0.325,0.0841
559,2,256,26,0.1929,0.316,0.324,0.0799
560,2,256,28,0.1929,0.316,0.324,0.0754
561,2,256,30,0.1857,0.316,0.323,0.0713
562,2,256,32,0.1429,0.122,0.13,
563,2,256,34,0.1429,0.122,0.13,
564,2,256,36,0.1429,0.122,0.13,
565,2,256,38,0.1429,0.122,0.13,
566,2,256,40,0.1429,0.122,0.13,
567,3,1,0,0.3429,0.174,0.213,0.1515
568,3,1,2,0.1429,0.162,0.149,0.1969
569,3,1,4,0.1429,0.162,0.149,0.1437
570,3,1,6,0.1429,0.162,0.149,0.1185
571,3,1,8,0.1429,0.162,0.149,0.1009
